,Drug,District,X_Coordinate,Y_Coordinate,Year,Latitude,Longitude
238,Cannabis,8,1160113.0,1863142.0,2010,41.78016465,-87.68854884
239,Crack,15,1139947.0,1897650.0,2002,41.87525108,-87.76163985
240,Crack,19,1168012.0,1931605.0,2008,41.96786629,-87.65761386
241,Heroin,2,1179479.0,1866413.0,2009,41.78872018,-87.61745053
242,Cocaine,8,1158960.0,1856500.0,2012,41.76196168,-87.69295725
243,Crack,4,1197939.0,1850303.0,2012,41.74407158,-87.55030335
244,Crack,24,1161848.0,1944950.0,2008,42.00461662,-87.67990397
245,Crack,2,1180939.0,1879246.0,2002,41.82390151,-87.6117022
246,Crack,11,1147395.0,1898656.0,2002,41.87787228,-87.73426766
247,Heroin,11,1150448.0,1894424.0,2012,41.86620017,-87.72316816
248,Crack,2,1180462.0,1882185.0,2007,41.83197733,-87.61336177
249,Cannabis,24,1165021.0,1948908.0,2011,42.0154104,-87.66811728
250,Cannabis,7,1164042.0,1865327.0,2005,41.78607883,-87.67408304
251,Crack,15,1144428.0,1898485.0,2016,41.87745934,-87.74516618
252,Crack,3,1179567.0,1863737.0,2005,41.78137496,-87.61720958
253,Cannabis,8,1155741.0,1852524.0,2012,41.75111606,-87.70486183
254,Heroin,12,1154904.0,1904850.0,2015,41.89472209,-87.70653018
255,Cannabis,4,1194537.0,1835662.0,2006,41.70397961,-87.56324825
256,Crack,5,1180128.0,1834578.0,2007,41.70134643,-87.61604391
257,Crack,4,1188597.0,1853363.0,2006,41.75269669,-87.58443519
258,Cannabis,9,1175014.0,1875989.0,2003,41.81509852,-87.63353612
259,Heroin,15,1138862.0,1900914.0,2007,41.88422769,-87.76554432
260,Heroin,4,1189354.0,1848301.0,2007,41.73878797,-87.58182314
261,Heroin,2,1181396.0,1873802.0,2004,41.80895221,-87.61019372
262,Heroin,15,1140666.0,1901245.0,2008,41.88510305,-87.75891158
263,Crack,4,1191543.0,1854161.0,2002,41.75481559,-87.57361367
264,Crack,11,1149472.0,1899354.0,2009,41.87974763,-87.72662325
265,Cannabis,17,1154380.0,1931719.0,2010,41.96846319,-87.70773463
266,Heroin,14,1158611.0,1908546.0,2003,41.9047891,-87.69281403
267,Cannabis,25,1138603.0,1917892.0,2001,41.93082202,-87.76608311
268,Cannabis,2,1181281.0,1873991.0,2014,41.8094735,-87.61060968
269,Crack,15,1142521.0,1905749.0,2004,41.89742829,-87.75198756
270,Cannabis,4,1197321.0,1846166.0,2008,41.73273474,-87.55270521
271,Cannabis,8,1132601.0,1869161.0,2012,41.79720373,-87.78927447
272,Cannabis,6,1169962.0,1854673.0,2010,41.75671633,-87.65268654
273,Cannabis,15,1141335.0,1901186.0,2009,41.88492883,-87.75645633
274,Cannabis,5,1173139.0,1825780.0,2007,41.67736022,-87.64189382
275,Cannabis,7,1173976.0,1865625.0,2011,41.78668179,-87.63765133
276,Heroin,10,1152640.0,1891619.0,2012,41.85845989,-87.71519523
277,Cannabis,11,1154115.0,1898876.0,2012,41.87834462,-87.70958745
278,Cannabis,15,1142927.0,1903341.0,2010,41.89081289,-87.75055643
279,Cannabis,17,1156071.0,1924011.0,2011,41.94727792,-87.70172578
280,Heroin,11,1155526.0,1895494.0,2001,41.8690358,-87.70449752
281,Cannabis,25,1150133.0,1908752.0,2013,41.90552388,-87.72395104
282,Heroin,11,1150900.0,1905395.0,2003,41.89629695,-87.72122156
283,Cannabis,11,1156862.0,1897226.0,2005,41.87376163,-87.69954577
284,Cannabis,5,1178425.0,1830052.0,2007,41.68896519,-87.62241648
285,Cannabis,19,1170221.0,1931900.0,2003,41.96862768,-87.64948295
286,Cannabis,3,1180633.0,1865098.0,2012,41.78508525,-87.61325964
287,Cannabis,6,1168062.0,1851530.0,2008,41.74813254,-87.65973988
288,Crack,18,1172768.0,1906610.0,2008,41.89917477,-87.64086888
289,Cocaine,8,1156510.0,1861191.0,2015,41.7748842,-87.70181063
290,Cannabis,15,1139306.0,1899471.0,2014,41.88025984,-87.76394903
