Drug,District,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
Cannabis,9,1167537,1870651,2005,41.80061426,-87.66111599,"(41.800614, -87.661116)"
Crack,7,1167145,1868123,2007,41.79368554,-87.66262591,"(41.793686, -87.662626)"
Cannabis,8,1156806,1862509,2010,41.77849502,-87.70068998,"(41.778495, -87.70069)"
Cannabis,14,1159959,1912926,2001,41.91678043,-87.68774132,"(41.91678, -87.687741)"
Crack,19,1167324,1931353,2011,41.96718966,-87.66015085,"(41.96719, -87.660151)"
Crack,14,1153469,1908200,2006,41.90394345,-87.71171141,"(41.903943, -87.711711)"
Heroin,11,1150080,1899044,2015,41.87888514,-87.72439881,"(41.878885, -87.724399)"
Cannabis,6,1184082,1852827,2013,41.7513325,-87.60099732,"(41.751333, -87.600997)"
Cannabis,7,1175268,1866851,2010,41.79001727,-87.63287758,"(41.790017, -87.632878)"
Cannabis,3,1185698,1864497,2008,41.78331815,-87.5947083,"(41.783318, -87.594708)"
Heroin,11,1144958,1895612,2007,41.8695655,-87.74329265,"(41.869565, -87.743293)"
Crack,4,1184833,1843843,2008,41.72666187,-87.5985264,"(41.726662, -87.598526)"
Cannabis,15,1143440,1902560,2007,41.88866016,-87.74869196,"(41.88866, -87.748692)"
Cannabis,11,1153998,1901799,2014,41.88636796,-87.70993909,"(41.886368, -87.709939)"
Cannabis,6,1176689,1851107,2002,41.7467821,-87.62814052,"(41.746782, -87.628141)"
Crack,11,1148214,1899000,2005,41.87880053,-87.73125161,"(41.878801, -87.731252)"
Cannabis,6,1183206,1842859,2008,41.72399962,-87.60451673,"(41.724, -87.604517)"
Heroin,18,1172740,1909425,2012,41.9068999,-87.64088826,"(41.9069, -87.640888)"
Heroin,11,1148082,1899322,2007,41.87968667,-87.731728,"(41.879687, -87.731728)"
Heroin,5,1183356,1831503,2004,41.69283384,-87.60431945,"(41.692834, -87.604319)"
Cannabis,7,1167645,1866676,2003,41.78970408,-87.66083396,"(41.789704, -87.660834)"
Cannabis,24,1164298,1950856,2004,42.02077113,-87.67072217,"(42.020771, -87.670722)"
Cannabis,25,1150447,1909305,2008,41.90703524,-87.72278315,"(41.907035, -87.722783)"
Crack,18,1173468,1906566,2001,41.8990385,-87.63829913,"(41.899038, -87.638299)"
Heroin,25,1147324,1907647,2011,41.90254594,-87.73429789,"(41.902546, -87.734298)"
Cocaine,4,1194833,1855572,2006,41.75860713,-87.56151062,"(41.758607, -87.561511)"
Hallucinogens,15,1144446,1898000,2017,41.87612811,-87.74511229,"(41.876128, -87.745112)"
Cannabis,2,1182386,1873939,2010,41.80930523,-87.60655839,"(41.809305, -87.606558)"
Crack,11,1153910,1904755,2002,41.89448127,-87.71018341,"(41.894481, -87.710183)"
Cannabis,7,1166414,1862613,2011,41.77858104,-87.66546339,"(41.778581, -87.665463)"
Heroin,4,1192527,1854815,2008,41.75658632,-87.56998639,"(41.756586, -87.569986)"
Heroin,11,1149044,1900332,2012,41.88243967,-87.72816949,"(41.88244, -87.728169)"
Cannabis,17,1152827,1932500,2011,41.97063728,-87.71342419,"(41.970637, -87.713424)"
Cannabis,7,1166785,1858959,2011,41.76854607,-87.6642075,"(41.768546, -87.664207)"
Cannabis,25,1150703,1919018,2009,41.93368358,-87.72158822,"(41.933684, -87.721588)"
Heroin,15,1142701,1904504,2013,41.89400851,-87.75135746,"(41.894009, -87.751357)"
