Drug,District,X Coordinate,Y Coordinate,Year,Latitude,Longitude
Cannabis,25,1146430,1917154,2007,41.92865118,-87.73733906
Cannabis,3,1188979,1858278,2012,41.76617475,-87.58287821
Crack,11,1158257,1896590,2004,41.871988,-87.69444137
Cannabis,2,1177861,1867918,2014,41.79288686,-87.62333754
Cocaine,9,1171479,1884120,2011,41.83748901,-87.64626446
Cannabis,10,1151009,1891492,2008,41.85814345,-87.72118541
Crack,5,1173922,1823153,2001,41.67013403,-87.63910527
Cannabis,4,1189862,1854688,2007,41.7563023,-87.57975702
Cannabis,10,1152498,1889138,2016,41.85165454,-87.71578196
Crack,6,1183309,1847474,2007,41.73666131,-87.60399622
Crack,11,1152772,1899305,2006,41.87954852,-87.71450732
Cannabis,15,1141386,1899763,2010,41.881023,-87.75630418
Cannabis,11,1151834,1907327,2012,41.90158021,-87.71774021
Heroin,15,1142855,1905702,2010,41.8972931,-87.75076198
Cannabis,15,1141695,1900395,2006,41.88275158,-87.7551539
Cannabis,3,1182717,1860597,2005,41.77268594,-87.6057585
Heroin,25,1142801,1907992,2012,41.90357812,-87.75090321
Heroin,3,1183094,1862428,2009,41.77770162,-87.60431963
Hallucinogens,15,1140373,1897154,2013,41.8738822,-87.76008789
Heroin,7,1171827,1868252,2007,41.79393801,-87.64545361
Crack,22,1170299,1831362,2004,41.69274022,-87.65212754
Heroin,25,1138775,1907869,2011,41.90331465,-87.76569483
Cannabis,3,1182717,1860597,2008,41.77268594,-87.6057585
Cannabis,11,1153379,1905787,2013,41.89732374,-87.71210618
Cannabis,7,1167646,1866629,2012,41.78957509,-87.66083164
Cannabis,8,1160113,1863142,2010,41.78016465,-87.68854884
Crack,15,1139947,1897650,2002,41.87525108,-87.76163985
Crack,19,1168012,1931605,2008,41.96786629,-87.65761386
Heroin,2,1179479,1866413,2009,41.78872018,-87.61745053
Cocaine,8,1158960,1856500,2012,41.76196168,-87.69295725
Crack,4,1197939,1850303,2012,41.74407158,-87.55030335
Crack,24,1161848,1944950,2008,42.00461662,-87.67990397
Crack,2,1180939,1879246,2002,41.82390151,-87.6117022
Crack,11,1147395,1898656,2002,41.87787228,-87.73426766
Heroin,11,1150448,1894424,2012,41.86620017,-87.72316816
Crack,2,1180462,1882185,2007,41.83197733,-87.61336177
Cannabis,24,1165021,1948908,2011,42.0154104,-87.66811728
Cannabis,7,1164042,1865327,2005,41.78607883,-87.67408304
Crack,15,1144428,1898485,2016,41.87745934,-87.74516618
Crack,3,1179567,1863737,2005,41.78137496,-87.61720958
Cannabis,8,1155741,1852524,2012,41.75111606,-87.70486183
Heroin,12,1154904,1904850,2015,41.89472209,-87.70653018
Cannabis,4,1194537,1835662,2006,41.70397961,-87.56324825
Crack,5,1180128,1834578,2007,41.70134643,-87.61604391
Crack,4,1188597,1853363,2006,41.75269669,-87.58443519
Cannabis,9,1175014,1875989,2003,41.81509852,-87.63353612
Heroin,15,1138862,1900914,2007,41.88422769,-87.76554432
Heroin,4,1189354,1848301,2007,41.73878797,-87.58182314
Heroin,2,1181396,1873802,2004,41.80895221,-87.61019372
Heroin,15,1140666,1901245,2008,41.88510305,-87.75891158
Crack,4,1191543,1854161,2002,41.75481559,-87.57361367
Crack,11,1149472,1899354,2009,41.87974763,-87.72662325
Cannabis,17,1154380,1931719,2010,41.96846319,-87.70773463
Heroin,14,1158611,1908546,2003,41.9047891,-87.69281403
Cannabis,25,1138603,1917892,2001,41.93082202,-87.76608311
Cannabis,2,1181281,1873991,2014,41.8094735,-87.61060968
Crack,15,1142521,1905749,2004,41.89742829,-87.75198756
Cannabis,4,1197321,1846166,2008,41.73273474,-87.55270521
Cannabis,8,1132601,1869161,2012,41.79720373,-87.78927447
Cannabis,6,1169962,1854673,2010,41.75671633,-87.65268654
Cannabis,15,1141335,1901186,2009,41.88492883,-87.75645633
Cannabis,5,1173139,1825780,2007,41.67736022,-87.64189382
Cannabis,7,1173976,1865625,2011,41.78668179,-87.63765133
Heroin,10,1152640,1891619,2012,41.85845989,-87.71519523
Cannabis,11,1154115,1898876,2012,41.87834462,-87.70958745
Cannabis,15,1142927,1903341,2010,41.89081289,-87.75055643
Cannabis,17,1156071,1924011,2011,41.94727792,-87.70172578
Heroin,11,1155526,1895494,2001,41.8690358,-87.70449752
Cannabis,25,1150133,1908752,2013,41.90552388,-87.72395104
Heroin,11,1150900,1905395,2003,41.89629695,-87.72122156
Cannabis,11,1156862,1897226,2005,41.87376163,-87.69954577
Cannabis,5,1178425,1830052,2007,41.68896519,-87.62241648
Cannabis,19,1170221,1931900,2003,41.96862768,-87.64948295
Cannabis,3,1180633,1865098,2012,41.78508525,-87.61325964
Cannabis,6,1168062,1851530,2008,41.74813254,-87.65973988
Crack,18,1172768,1906610,2008,41.89917477,-87.64086888
Cocaine,8,1156510,1861191,2015,41.7748842,-87.70181063
Cannabis,15,1139306,1899471,2014,41.88025984,-87.76394903
Crack,9,1170533,1870174,2004,41.7992405,-87.65014261
Crack,9,1175638,1876714,2003,41.81707401,-87.63122548
Heroin,12,1167904,1894367,2010,41.86568541,-87.65908741
Heroin,15,1143545,1899209,2002,41.87946265,-87.74839024
Cannabis,4,1190233,1853270,2008,41.75240225,-87.578443
Cannabis,15,1144226,1898895,2008,41.87858823,-87.74589757
Cannabis,11,1150745,1894431,2006,41.86621358,-87.72207766
Cannabis,4,1196429,1819736,2004,41.66023031,-87.55684583
Cannabis,9,1163773,1883772,2009,41.83669973,-87.6745509
Cannabis,25,1137090,1908883,2003,41.90612762,-87.77185991
